title,text
modi won the election of USA in 2020,"People of usa celebrates the win of modi on the election in USA 2020 His Bharatiya Janata Party (BJP) looks set to win about 300 of the 543 seats in parliament, in what Mr Modi hailed as ""a historic mandate The main opposition alliance, which is headed by Rahul Gandhi's Congress party, has admitted defeat"
RIL stock on bear run,"riliance share fell by 15% on monday due to rise in oil production cost, ans decrease in oil demand due to elextric vehicles"
Baahubali is a flop movie of 2017,"Prabhas starrer 'Baahubali 2: The Conclusion' doesn't created any records with its Hindi versions but the filmearns only 10 crore in India across all the other languages (Tamil, Telugu, Malayalam, Kannada and Hindi)"
India is one of the smallest country in the world with ranking of 7th smallest country,"India is on number seven in the list covering 61.2 sq km. The population of the country is around 33000 people. India's economy largely depends upon finance, industry, services, and tourism. The prime attractions of the beautiful country are its cliff-top castles that look magical"
In USA modi won the election in 2020,"in 2020 people of USA celebrates as modi govenment formed. Partial and declared results show Mr Modi's BJP is projected to win 300 seats on its own, and combined with the party's allies, this number reaches nearly 350. The main opposition Congress party is expected to win fewer than 60. A party or coalition needs at least 272 seats to secure a majority in the 543-member lower house of parliament, or Lok Sabha."
Dengue cases on decrease as winters arrive,"A decrease in cases of dengue has been seen in many states due to winters, thus year demgue cases are more than usial years"
India is one of the smallest country in the world with ranking of 7th smallest country,"India is on number seven in the list covering 61.2 sq km. The population of the country is around 33000 people. India's economy largely depends upon finance, industry, services, and tourism. The prime attractions of the beautiful country are its cliff-top castles that look magical"
Indian cricket team qualified for the semifinals,India has qualified to the semifinals of ICC T20 World Cup 2021 after beating New Zealand in the last league match by 8 wickets. India has 8 points and stand at 2nd position of the points table and started preparing for the semifinal against England
"President Kovind makes Twitter debut, gains 3 millions followers in one hour","Within minutes of taking over as the President, Ram Nath Kovind got nearly 3.25 million followers on popular social networking website Twitter"
RIL stock on bear run,"riliance share fell by 15% on monday due to rise in oil production cost, ans decrease in oil demand due to elextric vehicles"
Baahubali is a flop movie of 2017,"Prabhas starrer 'Baahubali 2: The Conclusion' doesn't created any records with its Hindi versions but the filmearns only 10 crore in India across all the other languages (Tamil, Telugu, Malayalam, Kannada and Hindi)"
LinkedIn has overtaken facebook,This morning one unbelievable thing happens LinkedIn has officially surpassed the overall revenue of the facbookand co-orporation with a total woldwide user bases of 7 billion people and more with only 500 million user database on the facebook 
Indian cricket team qualified for the semifinals,India has qualified to the semifinals of ICC T20 World Cup 2021 after beating New Zealand in the last league match by 8 wickets. India has 8 points and stand at 2nd position of the points table and started preparing for the semifinal against England
"President Kovind makes Twitter debut, gains 3 millions followers in one hour","Within minutes of taking over as the President, Ram Nath Kovind got nearly 3.25 million followers on popular social networking website Twitter"
Corona cure discovered,"many people are claiming that onion juice is helping to cure corona and prevent hospitalisation, also vaccinatio is also helping to reduce corona cases"
Baahubali is a flop movie of 2017,"Prabhas starrer 'Baahubali 2: The Conclusion' doesn't created any records with its Hindi versions but the filmearns only 10 crore in India across all the other languages (Tamil, Telugu, Malayalam, Kannada and Hindi)"
RIL stock on bear run,"riliance share fell by 15% on monday due to rise in oil production cost, ans decrease in oil demand due to elextric vehicles"
Indian cricket team qualified for the semifinals,India has qualified to the semifinals of ICC T20 World Cup 2021 after beating New Zealand in the last league match by 8 wickets. India has 8 points and stand at 2nd position of the points table and started preparing for the semifinal against England
Dengue cases on decrease as winters arrive,"A decrease in cases of dengue has been seen in many states due to winters, thus year demgue cases are more than usial years"
India is one of the smallest country in the world with ranking of 7th smallest country,"India is on number seven in the list covering 61.2 sq km. The population of the country is around 33000 people. India's economy largely depends upon finance, industry, services, and tourism. The prime attractions of the beautiful country are its cliff-top castles that look magical"
In USA modi won the election in 2020,"in 2020 people of USA celebrates as modi govenment formed. Partial and declared results show Mr Modi's BJP is projected to win 300 seats on its own, and combined with the party's allies, this number reaches nearly 350. The main opposition Congress party is expected to win fewer than 60. A party or coalition needs at least 272 seats to secure a majority in the 543-member lower house of parliament, or Lok Sabha."
LinkedIn has overtaken facebook,This morning one unbelievable thing happens LinkedIn has officially surpassed the overall revenue of the facbookand co-orporation with a total woldwide user bases of 7 billion people and more with only 500 million user database on the facebook 
India is one of the smallest country in the world with ranking of 7th smallest country,"India is on number seven in the list covering 61.2 sq km. The population of the country is around 33000 people. India's economy largely depends upon finance, industry, services, and tourism. The prime attractions of the beautiful country are its cliff-top castles that look magical"
RIL stock on bear run,"riliance share fell by 15% on monday due to rise in oil production cost, ans decrease in oil demand due to elextric vehicles"
Baahubali is a flop movie of 2017,"Prabhas starrer 'Baahubali 2: The Conclusion' doesn't created any records with its Hindi versions but the filmearns only 10 crore in India across all the other languages (Tamil, Telugu, Malayalam, Kannada and Hindi)"
"President Kovind makes Twitter debut, gains 3 millions followers in one hour","Within minutes of taking over as the President, Ram Nath Kovind got nearly 3.25 million followers on popular social networking website Twitter"
Corona cure discovered,"many people are claiming that onion juice is helping to cure corona and prevent hospitalisation, also vaccinatio is also helping to reduce corona cases"
In USA modi won the election in 2020,"in 2020 people of USA celebrates as modi govenment formed. Partial and declared results show Mr Modi's BJP is projected to win 300 seats on its own, and combined with the party's allies, this number reaches nearly 350. The main opposition Congress party is expected to win fewer than 60. A party or coalition needs at least 272 seats to secure a majority in the 543-member lower house of parliament, or Lok Sabha."
India is one of the smallest country in the world with ranking of 7th smallest country,"India is on number seven in the list covering 61.2 sq km. The population of the country is around 33000 people. India's economy largely depends upon finance, industry, services, and tourism. The prime attractions of the beautiful country are its cliff-top castles that look magical"
Dengue cases on decrease as winters arrive,"A decrease in cases of dengue has been seen in many states due to winters, thus year demgue cases are more than usial years"
LinkedIn has overtaken facebook,This morning one unbelievable thing happens LinkedIn has officially surpassed the overall revenue of the facbookand co-orporation with a total woldwide user bases of 7 billion people and more with only 500 million user database on the facebook 
Indian cricket team qualified for the semifinals,India has qualified to the semifinals of ICC T20 World Cup 2021 after beating New Zealand in the last league match by 8 wickets. India has 8 points and stand at 2nd position of the points table and started preparing for the semifinal against England
RIL stock on bear run,"riliance share fell by 15% on monday due to rise in oil production cost, ans decrease in oil demand due to elextric vehicles"
LinkedIn has overtaken facebook,This morning one unbelievable thing happens LinkedIn has officially surpassed the overall revenue of the facbookand co-orporation with a total woldwide user bases of 7 billion people and more with only 500 million user database on the facebook 
